"ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"0100BRP90171","bstjwja","","","Glen Park","en","","","","","","","","","NE-bound","en","NE","E0035600","Eastville","Bristol","","","","","","0","U",361180,174902,-2.5602943871,51.4717433191,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2018-07-12T14:12:08",37,"new","act"
"0100BRP90178","bstmpdw","","","Channon's Hill","en","","","","","Fishponds Road","en","","","D","en","NE","E0035604","Fishponds","Bristol","","","","","","0","U",362965,175616,-2.5346715151,51.4782829941,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2018-07-12T14:59:30",16,"new","act"
"0100BRP90179","bstmpmg","","","Channons Hill","en","","","","","Fishponds Road","en","","","B","en","NE","E0035604","Fishponds","Bristol","","","","","","0","U",363101,175699,-2.5327219916,51.4790381718,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2018-07-12T15:21:18",16,"new","act"
"0100BRA0","","","","Bristol Bridge Ferry Landing","en","","","","","","","","","Entrance","en","","N0076879","Bristol City Centre","Bristol","","","","","","0","U",358999,172932,-2.5914640387,51.4538766758,"FTD","","","","","","009","2020-01-07T13:51:39","2017-01-16T12:36:03",5,"del","del"
"0100BRA10931","bstjwmd","","","Tramway Road","en","","","","","Bath Road","en","","","N-bound","en","N","E0035580","Brislington","Bristol","","","","","","0","U",361320,171168,-2.5578692934,51.4381801478,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:41","2019-05-01T11:20:13",8,"new","act"
"0100BRA10932","bstjwpw","","","Tramway Road","en","","","","","Bath Road","en","","","SE-bound","en","SE","E0035580","Brislington","Bristol","","","","","","0","U",361387,171097,-2.5568976634,51.4375463620,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:41","2019-05-01T11:20:27",14,"new","act"
"0100BRA10861","bstmwpt","","","Lodge Road","en","","","","","Lodge Road","en","","","N-bound","en","N","E0035663","Two Mile Hill","Bristol","","","","","","0","U",364371,174258,-2.5142895340,51.4661636168,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:41","2016-10-31T10:33:04",4,"new","act"
"0100BRA10855","bstmtwg","","","New Queen Street","en","","","","","Charlton Road","en","","","SW-bound","en","SW","E0035663","Two Mile Hill","Bristol","","","","","","0","U",363894,174199,-2.5211498569,51.4656028089,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:41","2016-10-31T10:33:04",4,"new","act"
"0100BRA10856","bstmtwa","","","New Queen Street","en","","","","","Charlton Road","en","","","N-bound","en","N","E0035663","Two Mile Hill","Bristol","","","","","","0","U",363885,174228,-2.5212823819,51.4658629759,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:41","2016-10-31T10:33:04",4,"new","act"
"0100BRP90078","bstjawg","","","Osborne Avenue","en","","","","","Ashley Down Road","en","","","N-bound","en","N","E0035561","Ashley Down","Bristol","","","","","","0","U",359734,175248,-2.5811513023,51.4747528625,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2017-08-10T17:16:41",10,"new","act"
"0100BRP90079","bstjagt","","","Ashley Park","en","","","","","Chesterfield Road","en","","","NE-bound","en","NE","N0077042","St. Andrews","Bristol","","","","","","0","U",359626,175008,-2.5826787234,51.4725872940,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2016-10-31T10:33:04",4,"new","act"
"0100BRP90124","bstjtwt","","","Cameron Walk","en","","","","","Romney Avenue","en","","","S-bound","en","S","E0035622","Lockleaze","Bristol","","","","","","0","U",361113,176901,-2.5614797199,51.4897118349,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2016-10-31T10:33:04",4,"new","act"
"0100BRA10859","bstmwpa","","","Soundwell Road","en","","","","","Soundwell Road","en","","","N-bound","en","N","E0035663","Two Mile Hill","Bristol","","","","","","0","U",364344,173962,-2.5146482428,51.4635005290,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:41","2016-10-31T10:33:04",4,"new","act"
"0100BRA10860","bstmwpw","","","Lodge Road","en","","","","","Lodge Road","en","","","S-bound","en","S","E0035663","Two Mile Hill","Bristol","","","","","","0","U",364379,174148,-2.5141632535,51.4651750951,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:41","2016-10-31T10:33:04",4,"new","act"
"0100BRP90092","bstjawm","","","Brook Road","en","","","","","Ashley Road","en","","","E-bound","en","E","N0077044","St Werburghs","Bristol","","","","","","0","U",359745,174272,-2.5808814300,51.4659783866,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2016-10-31T10:33:04",9,"new","act"
"0100BRP90093","bstjata","","","Brook Road","en","","","","","Ashley Road","en","","","W-bound","en","W","N0077044","St Werburghs","Bristol","","","","","","0","U",359686,174234,-2.5817263707,51.4656325146,"BCT","MKD","OTH","","","","009","2020-01-07T13:51:40","2016-10-31T10:33:04",9,"new","act"
